pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8150000,8837080,39804877508,29838000086,525187778,V36OSQA2MW6BR6YW7ILSS3QUFSV6OWOOOARGVTOGV6CFILF52NCA
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8150000,8837080,39804877508,6723853442,118348603,V7HXXTRABM66YVQONDXCUIBUSESMDGQ2HHHO242NAELLCUX4OHWQ
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8150000,8837080,39804877508,1645564683,28964087,HQZHB75TLP7TF4SAAATIVFJV6YXXTUKLQAGAS33PJXNINX6I63HA
411756,27A3ANJ4DR6Y3O7HWB77OYIOW3KKZ42QUHQ3C6OTN53IN64MC3WZEYTJR4,8150000,8837080,39804877508,1103067590,19415430,FCB2CG3O4D4JVHJVVM2OEXOFQFM6BLMBH5VTPFDEOSTCW4JKW2CQ
