pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8893864,8924863,5270053664012,4441348687057,3526956860,WW2MCW2D3BGY3YHRTYNGVTATRMSQMJVDQLWRK3LPUGT66EYWCD7Q
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,8893864,8924863,5270053664012,787990703068,625757942,DZBWCSM4HL2NOMMZNH7FGT62BTIJPH7DGFN2OUDOKM6JUUOOTC6Q
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8893864,8924863,5270053664012,24759924225,19662312,5BLMKWRDYKCS2VID5JMQRUJTH3JTVQ2C5Z3J6QST3PS23KRJ3JBQ
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8893864,8924863,5270053664012,9895210861,7857969,754ZIHZ4W6ILHSNCYAMC2BVP4Z5YEAWNNUWYXUV2LB3FQIKGGRJQ
