pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8996960,9025264,10053124624619,8778351125124,6364999248,E5BTKYPJ56BOOWNUBRTSLXOSACZLHENGRHFEA2OTB4EKWMCMCSMQ
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,8996960,9025264,10053124624619,1215795235383,881547758,GFPQB3EYARKHLGHRT476B76LFB7OF5TW4533MRB5P3BAGRZSHKBQ
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8996960,9025264,10053124624619,39705418892,28789570,FMTO6W63FH3GQIG6W6IR4Q3MENOCKWXBKXVAB5AIR6RGC7ID37BQ
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8996960,9025264,10053124624619,15917815936,11541676,57TUFCQ4C5G6CVUG4MJLVNSZ7UFLAZELFQYGHFXZ4QWBF7ZT66JQ
