pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,9025265,9053332,24989771336640,24079504921430,17313351295,DVMILFIMKSHFC5XYKL5MZ73VO3DFTEIWT6LYMYICX7LPHWRGU33A
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,9025265,9053332,24989771336640,855723740289,615272023,BC3GZSK2EQVARCJMC4Q22PZZT7WJWYOOL4BK6UYPG3LAS2UCB32Q
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,9025265,9053332,24989771336640,28056516075,20172853,VFBZLJ66VPSISVTKJL44C3VF4UGZAAWYD55P6NXVSQPUZEGZA2NQ
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,9025265,9053332,24989771336640,7014129018,5043213,QG3H3LDL2VMFLKAOMUVS35XEH7DCVNT6YZO6ZJJ3LSMWS7UIGJ5Q
