pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,8837081,8893863,769562463651,369076747542,536864840,DY6T5V6QITXP5VG4TYZ2HXIAWLRRI3AVKTJENTMA4I2W3L6MZMPQ
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8837081,8893863,769562463651,329446835612,479218547,Z45KJYKZ7HZEH3WCCDU3DZTKMT3YYOP2HDMPBWZSWMO42C5AI5AQ
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8837081,8893863,769562463651,49470976672,71961260,QOMJXB3GU6BGYPJYJWKJUHUICYBQMZ7RLOTWIX4HKT6LS623OX6Q
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8837081,8893863,769562463651,20668331476,30064479,2VK6BNYRUVD3GKPWOUVEW4EGKUGLJK66DPDVN26Z6QCJPZ57FJEA
