pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8924864,8963369,5310667975952,4484585606290,4423612121,U4E3OZ4ZZ4LMT3UO5PC3ANOZA4LCEK6MYZE74KZ2KN5P6K4OLOUQ
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,8924864,8963369,5310667975952,787233134003,776529726,7QFL2QGYUDRL42UX4V6VR4QR2ZTOQPNXDKELTXBPSYCSVKMLGSCA
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8924864,8963369,5310667975952,24539109729,24205470,Y4N3F2GA6Q3BFTIPDOPGPF3G4BYAYJRWEHUNAK4ZK6JBKYB72QOQ
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8924864,8963369,5310667975952,10224629054,10085612,QFDUKD5CWW32WQQM2VPG35YS5YEJBW64TKI7JG3MMAKHRJMTXZ2Q
