pool,user,round_from,round_to,tvl,user_tvl,amount,txid
411756,DYX2V5XF4IKOHE55Z63XAHVBJTMYM723HK5WJZ72BDZ5AFEFKJ5YP4DOQQ,8963370,8996959,5541907978591,4685457196891,4031685457,NCCBKK4ZZ77ZMC6YRJWMUNGYANQARHL7DFYH24DQ63GI4SUR6ZJQ
411756,BUD2763FMK6EYVKGHWWUN4QKHPSPCVFUEPPI4PQCPGYVPGQ6GNKBX6IXCQ,8963370,8996959,5541907978591,817210304713,703183224,TF52ILEUW2JC4M24JBFR2KW3YWHPMTG3E3DPNXIHNHURY3SHYKBQ
411756,KRGQTWOEDRJ7476DIORQDSLUZMJLHPQ2KKGAZTNGQ6KWPI2UT3KD42EX64,8963370,8996959,5541907978591,26061376460,22424977,7SYYAT4ND6TBP336EJTGZIKBLQXCCH3ZBDK56X7A3JLVHU6FVU2Q
411756,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,8963370,8996959,5541907978591,11169161340,9610704,2EZ7SSZVIJL72NKIWNLYR63C23BAAPB2ICBAHJEJJBIQIWP7373A
